demographics_key,sex,age_group,education_level,annual_income,race_ethnicity
49,Male,70-74,Elementary,"$10,000 to <$15,000",White only (non-Hispanic)
50,Female,80+,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
51,Female,35-39,High school graduate,,White only (non-Hispanic)
52,Female,70-74,Some college or technical school,"$20,000 to <$25,000",White only (non-Hispanic)
53,Female,60-64,Some college or technical school,,White only (non-Hispanic)
54,Female,80+,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
55,Female,65-69,Some college or technical school,,White only (non-Hispanic)
56,Female,60-64,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
57,Female,35-39,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
58,Male,60-64,Some high school,,Black only (non-Hispanic)
59,Male,80+,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
60,Female,55-59,High school graduate,"$75,000 to < $100,000",Black only (non-Hispanic)
61,Female,60-64,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
62,Female,65-69,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
63,Female,80+,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
64,Female,70-74,Elementary,,Black only (non-Hispanic)
65,Female,70-74,High school graduate,,White only (non-Hispanic)
66,Female,70-74,Some college or technical school,"$35,000 to <$50,000",
67,Male,75-79,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
68,Male,75-79,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
69,Female,75-79,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
70,Male,70-74,Some college or technical school,"$25,000 to <$35,000",Black only (non-Hispanic)
71,Female,80+,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
72,Female,70-74,Elementary,,White only (non-Hispanic)
73,Male,60-64,High school graduate,,White only (non-Hispanic)
74,Female,40-44,Some college or technical school,,Black only (non-Hispanic)
75,Female,45-49,Elementary,,White only (non-Hispanic)
76,Male,80+,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
77,Female,50-54,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
78,Female,65-69,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
79,Male,65-69,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
80,Female,45-49,College graduate or higher,,Black only (non-Hispanic)
81,Female,60-64,High school graduate,,White only (non-Hispanic)
82,Female,60-64,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
83,Male,75-79,College graduate or higher,,White only (non-Hispanic)
84,Male,60-64,High school graduate,"$200,000 or more",White only (non-Hispanic)
85,Female,80+,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
86,Male,65-69,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
87,Female,60-64,College graduate or higher,,Black only (non-Hispanic)
88,Male,60-64,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
89,Male,25-29,High school graduate,,Black only (non-Hispanic)
90,Female,60-64,High school graduate,"$100,000 to < $150,000",White only (non-Hispanic)
91,Female,60-64,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
92,Male,75-79,Elementary,,White only (non-Hispanic)
93,Male,80+,Some college or technical school,"$10,000 to <$15,000",Black only (non-Hispanic)
94,Female,80+,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
95,Female,70-74,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
96,Female,65-69,Some college or technical school,,Black only (non-Hispanic)
97,Female,70-74,College graduate or higher,"Less than $10,000",Black only (non-Hispanic)
98,Female,55-59,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
99,Male,55-59,High school graduate,"Less than $10,000",Black only (non-Hispanic)
100,Female,80+,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
101,Female,70-74,Some college or technical school,,White only (non-Hispanic)
102,Male,45-49,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
103,Female,70-74,Some college or technical school,"$25,000 to <$35,000",Black only (non-Hispanic)
104,Female,65-69,College graduate or higher,,Black only (non-Hispanic)
105,Female,70-74,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
106,Male,75-79,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
107,Female,60-64,High school graduate,"Less than $10,000",Black only (non-Hispanic)
108,Male,80+,High school graduate,,White only (non-Hispanic)
109,Male,80+,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
110,Male,55-59,High school graduate,"$20,000 to <$25,000",White only (non-Hispanic)
111,Female,80+,Some college or technical school,,Black only (non-Hispanic)
112,Female,70-74,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
113,Male,65-69,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
114,Female,80+,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
115,Female,80+,Some high school,"$35,000 to <$50,000",White only (non-Hispanic)
116,Female,75-79,High school graduate,"$20,000 to <$25,000",White only (non-Hispanic)
117,Male,65-69,College graduate or higher,"$200,000 or more",Black only (non-Hispanic)
118,Female,65-69,College graduate or higher,,White only (non-Hispanic)
119,Female,80+,Some college or technical school,"$20,000 to <$25,000",Black only (non-Hispanic)
120,Male,65-69,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
121,Female,75-79,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
122,Female,80+,College graduate or higher,"$20,000 to <$25,000",White only (non-Hispanic)
123,Female,65-69,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
124,Female,75-79,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
125,Female,45-49,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
126,Female,70-74,High school graduate,,Black only (non-Hispanic)
127,Female,35-39,College graduate or higher,"$100,000 to < $150,000",Black only (non-Hispanic)
128,Female,70-74,Some college or technical school,"$50,000 to <$75,000",Black only (non-Hispanic)
129,Female,60-64,Some college or technical school,,Black only (non-Hispanic)
130,Female,70-74,Some college or technical school,,Black only (non-Hispanic)
131,Male,80+,Some high school,"$50,000 to <$75,000",White only (non-Hispanic)
132,Female,75-79,College graduate or higher,,Black only (non-Hispanic)
133,Male,80+,High school graduate,"$20,000 to <$25,000",Black only (non-Hispanic)
134,Female,40-44,High school graduate,"$10,000 to <$15,000",Black only (non-Hispanic)
135,Female,80+,College graduate or higher,"$100,000 to < $150,000",Black only (non-Hispanic)
136,Female,65-69,Some college or technical school,"$15,000 to <$20,000",White only (non-Hispanic)
137,Male,70-74,High school graduate,,White only (non-Hispanic)
138,Female,70-74,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
139,Female,80+,High school graduate,"$150,000 to < $200,000",White only (non-Hispanic)
140,Male,55-59,College graduate or higher,,Black only (non-Hispanic)
141,Male,50-54,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
142,Female,35-39,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
143,Female,70-74,College graduate or higher,,White only (non-Hispanic)
144,Female,18-24,Some high school,,White only (non-Hispanic)
145,Female,80+,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
146,Female,60-64,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
147,Female,75-79,Elementary,"$20,000 to <$25,000",White only (non-Hispanic)
148,Male,80+,Some college or technical school,"$150,000 to < $200,000",White only (non-Hispanic)
149,Female,75-79,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
150,Male,75-79,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
151,Female,35-39,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
152,Female,70-74,Some college or technical school,"$200,000 or more",White only (non-Hispanic)
153,Female,55-59,Some high school,"Less than $10,000",Black only (non-Hispanic)
154,Female,75-79,Some high school,"$35,000 to <$50,000",White only (non-Hispanic)
155,Male,80+,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
156,Female,75-79,Elementary,,Black only (non-Hispanic)
157,Female,50-54,Some college or technical school,"$200,000 or more",White only (non-Hispanic)
158,Female,75-79,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
159,Female,60-64,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
160,Female,80+,College graduate or higher,,Black only (non-Hispanic)
161,Female,75-79,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
162,Female,55-59,High school graduate,,White only (non-Hispanic)
163,Female,70-74,High school graduate,,
164,Female,80+,High school graduate,,Black only (non-Hispanic)
165,Male,80+,Some high school,,White only (non-Hispanic)
166,Male,65-69,High school graduate,,White only (non-Hispanic)
167,Female,65-69,College graduate or higher,"$100,000 to < $150,000",Black only (non-Hispanic)
168,Male,75-79,Some high school,,Black only (non-Hispanic)
169,Male,80+,College graduate or higher,,
170,Male,55-59,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
171,Male,75-79,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
172,Male,80+,High school graduate,,Black only (non-Hispanic)
173,Female,70-74,High school graduate,"Less than $10,000",Black only (non-Hispanic)
174,Male,75-79,Some high school,"$25,000 to <$35,000",
175,Female,80+,Some high school,,Black only (non-Hispanic)
176,Female,75-79,Some college or technical school,"$25,000 to <$35,000",Black only (non-Hispanic)
177,Female,65-69,College graduate or higher,"$10,000 to <$15,000",White only (non-Hispanic)
178,Female,60-64,Some college or technical school,"$20,000 to <$25,000",White only (non-Hispanic)
179,Female,70-74,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
180,Female,50-54,Some high school,"Less than $10,000",Black only (non-Hispanic)
181,Female,70-74,Some high school,"$35,000 to <$50,000",White only (non-Hispanic)
182,Female,60-64,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
183,Female,40-44,Some high school,,Black only (non-Hispanic)
184,Female,75-79,College graduate or higher,,White only (non-Hispanic)
185,Male,65-69,College graduate or higher,,White only (non-Hispanic)
186,Male,70-74,College graduate or higher,"$50,000 to <$75,000",Other race (non-Hispanic)
187,Female,55-59,Some college or technical school,,White only (non-Hispanic)
188,Female,55-59,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
189,Female,70-74,Some college or technical school,"$15,000 to <$20,000",Black only (non-Hispanic)
190,Female,75-79,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
191,Female,45-49,High school graduate,"$75,000 to < $100,000",American Indian/Alaska Native (non-Hispanic)
192,Male,,College graduate or higher,,White only (non-Hispanic)
193,Female,75-79,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
194,Female,65-69,Some high school,"$20,000 to <$25,000",
195,Female,75-79,College graduate or higher,"$35,000 to <$50,000",Black only (non-Hispanic)
196,Male,80+,College graduate or higher,"$35,000 to <$50,000",Black only (non-Hispanic)
197,Female,55-59,Some college or technical school,,Black only (non-Hispanic)
198,Male,80+,Some high school,"$50,000 to <$75,000",Black only (non-Hispanic)
199,Female,70-74,College graduate or higher,,Black only (non-Hispanic)
200,Female,75-79,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
201,Male,70-74,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
202,Female,80+,Some high school,,White only (non-Hispanic)
203,Male,50-54,High school graduate,,Black only (non-Hispanic)
204,Female,18-24,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
205,Female,70-74,High school graduate,"$75,000 to < $100,000",Black only (non-Hispanic)
206,Female,,Some high school,,Black only (non-Hispanic)
207,Female,75-79,High school graduate,"$10,000 to <$15,000",White only (non-Hispanic)
208,Female,40-44,High school graduate,"Less than $10,000",Black only (non-Hispanic)
209,Male,75-79,High school graduate,,White only (non-Hispanic)
210,Female,55-59,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
211,Female,65-69,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
212,Female,50-54,Some college or technical school,,White only (non-Hispanic)
213,Female,50-54,High school graduate,,White only (non-Hispanic)
214,Female,75-79,Some high school,"Less than $10,000",Black only (non-Hispanic)
215,Female,80+,Some college or technical school,"$25,000 to <$35,000",Black only (non-Hispanic)
216,Female,75-79,Some college or technical school,"$10,000 to <$15,000",Black only (non-Hispanic)
217,Male,70-74,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
218,Male,70-74,College graduate or higher,"$25,000 to <$35,000",Other race (non-Hispanic)
219,Female,65-69,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
220,Female,70-74,College graduate or higher,"$35,000 to <$50,000",Black only (non-Hispanic)
221,Male,70-74,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
222,Female,65-69,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
223,Female,80+,Elementary,,White only (non-Hispanic)
224,Female,80+,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
225,Female,65-69,College graduate or higher,,
226,Male,70-74,College graduate or higher,"$100,000 to < $150,000",Black only (non-Hispanic)
227,Female,55-59,Some college or technical school,"$15,000 to <$20,000",White only (non-Hispanic)
228,Female,75-79,Elementary,,White only (non-Hispanic)
229,Female,55-59,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
230,Male,65-69,College graduate or higher,"Less than $10,000",White only (non-Hispanic)
231,Female,55-59,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
232,Female,60-64,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
233,Female,50-54,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
234,Female,75-79,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
235,Female,60-64,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
236,Male,80+,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
237,Female,70-74,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
238,Male,80+,High school graduate,"$200,000 or more",White only (non-Hispanic)
239,Female,55-59,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
240,Female,55-59,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
241,Male,75-79,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
242,Male,55-59,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
243,Male,80+,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
244,Female,65-69,College graduate or higher,"$75,000 to < $100,000",White only (non-Hispanic)
245,Female,75-79,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
246,Female,75-79,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
247,Female,70-74,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
248,Female,55-59,College graduate or higher,"$20,000 to <$25,000",White only (non-Hispanic)
249,Female,80+,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
250,Female,60-64,High school graduate,,Black only (non-Hispanic)
251,Male,55-59,High school graduate,"$50,000 to <$75,000",Multiracial (non-Hispanic)
252,Female,50-54,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
253,Male,65-69,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
254,Male,75-79,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
255,Male,60-64,Some college or technical school,"$150,000 to < $200,000",White only (non-Hispanic)
256,Male,75-79,College graduate or higher,"$150,000 to < $200,000",Black only (non-Hispanic)
257,Female,,High school graduate,,Black only (non-Hispanic)
258,Female,60-64,Some high school,,White only (non-Hispanic)
259,Male,70-74,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
260,Female,,College graduate or higher,,Black only (non-Hispanic)
261,Male,75-79,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
262,Female,55-59,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
263,Male,45-49,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
264,Female,70-74,Some college or technical school,"$15,000 to <$20,000",White only (non-Hispanic)
265,Female,70-74,College graduate or higher,"$15,000 to <$20,000",Black only (non-Hispanic)
266,Female,70-74,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
267,Male,70-74,College graduate or higher,"$100,000 to < $150,000",White only (non-Hispanic)
268,Male,45-49,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
269,Female,65-69,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
270,Female,75-79,Some college or technical school,"$75,000 to < $100,000",Black only (non-Hispanic)
271,Male,55-59,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
272,Male,45-49,College graduate or higher,"$200,000 or more",Black only (non-Hispanic)
273,Female,80+,Some college or technical school,,Multiracial (non-Hispanic)
274,Male,70-74,College graduate or higher,"$200,000 or more",Black only (non-Hispanic)
275,Male,80+,Elementary,,Black only (non-Hispanic)
276,Female,60-64,Some high school,,Black only (non-Hispanic)
277,Male,70-74,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
278,Female,65-69,High school graduate,"Less than $10,000",Black only (non-Hispanic)
279,Male,65-69,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
280,Female,65-69,Some college or technical school,"$10,000 to <$15,000",Black only (non-Hispanic)
281,Female,80+,High school graduate,,Multiracial (non-Hispanic)
282,Female,75-79,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
283,Female,80+,Some college or technical school,"$15,000 to <$20,000",White only (non-Hispanic)
284,Female,65-69,Some high school,"$35,000 to <$50,000",White only (non-Hispanic)
285,Female,75-79,High school graduate,"$15,000 to <$20,000",White only (non-Hispanic)
286,Female,75-79,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
287,Male,70-74,College graduate or higher,,White only (non-Hispanic)
288,Female,80+,Elementary,"$10,000 to <$15,000",White only (non-Hispanic)
289,Male,80+,Some college or technical school,"$25,000 to <$35,000",Black only (non-Hispanic)
290,Male,70-74,High school graduate,"$35,000 to <$50,000",Black only (non-Hispanic)
291,Male,70-74,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
292,Female,75-79,Some high school,,Black only (non-Hispanic)
293,Female,60-64,Some college or technical school,"$15,000 to <$20,000",Black only (non-Hispanic)
294,Female,65-69,Some college or technical school,"$50,000 to <$75,000",Black only (non-Hispanic)
295,Female,60-64,Some college or technical school,"Less than $10,000",White only (non-Hispanic)
296,Male,70-74,Some high school,"$35,000 to <$50,000",Black only (non-Hispanic)
297,Female,70-74,High school graduate,"$25,000 to <$35,000",White only (non-Hispanic)
298,Female,60-64,High school graduate,"$10,000 to <$15,000",Multiracial (non-Hispanic)
299,Female,55-59,High school graduate,,Black only (non-Hispanic)
300,Female,65-69,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
301,Female,50-54,Elementary,,White only (non-Hispanic)
302,Female,45-49,Some high school,"$50,000 to <$75,000",White only (non-Hispanic)
303,Male,70-74,High school graduate,"$15,000 to <$20,000",White only (non-Hispanic)
304,Male,70-74,High school graduate,"$10,000 to <$15,000",White only (non-Hispanic)
305,Female,75-79,College graduate or higher,"$25,000 to <$35,000",Black only (non-Hispanic)
306,Female,65-69,High school graduate,"$35,000 to <$50,000",White only (non-Hispanic)
307,Female,55-59,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
308,Female,65-69,Refused,,White only (non-Hispanic)
309,Male,45-49,Some college or technical school,,White only (non-Hispanic)
310,Female,80+,Elementary,,Black only (non-Hispanic)
311,Female,65-69,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
312,Female,80+,High school graduate,"$20,000 to <$25,000",White only (non-Hispanic)
313,Female,70-74,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
314,Female,70-74,Some high school,"$20,000 to <$25,000",Multiracial (non-Hispanic)
315,Female,55-59,Elementary,"$25,000 to <$35,000",Black only (non-Hispanic)
316,Female,80+,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
317,Female,60-64,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
318,Female,70-74,College graduate or higher,"$10,000 to <$15,000",Black only (non-Hispanic)
319,Female,60-64,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
320,Male,50-54,Some college or technical school,"Less than $10,000",White only (non-Hispanic)
321,Female,55-59,College graduate or higher,"$50,000 to <$75,000",Black only (non-Hispanic)
322,Female,70-74,Some college or technical school,"$50,000 to <$75,000",White only (non-Hispanic)
323,Male,65-69,High school graduate,"$15,000 to <$20,000",Black only (non-Hispanic)
324,Male,65-69,College graduate or higher,"$150,000 to < $200,000",White only (non-Hispanic)
325,Female,30-34,College graduate or higher,"$150,000 to < $200,000",Black only (non-Hispanic)
326,Female,75-79,Some high school,"$20,000 to <$25,000",Black only (non-Hispanic)
327,Female,65-69,Some college or technical school,,
328,Female,60-64,High school graduate,"$200,000 or more",White only (non-Hispanic)
329,Female,70-74,College graduate or higher,"$75,000 to < $100,000",Black only (non-Hispanic)
330,Male,75-79,Some high school,"$20,000 to <$25,000",Black only (non-Hispanic)
331,Female,45-49,Some college or technical school,"$20,000 to <$25,000",White only (non-Hispanic)
332,Female,,Some college or technical school,,White only (non-Hispanic)
333,Male,70-74,High school graduate,"$75,000 to < $100,000",White only (non-Hispanic)
334,Female,70-74,Some college or technical school,"$10,000 to <$15,000",White only (non-Hispanic)
335,Female,75-79,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
336,Female,65-69,College graduate or higher,"$25,000 to <$35,000",Black only (non-Hispanic)
337,Female,75-79,High school graduate,"$25,000 to <$35,000",Black only (non-Hispanic)
338,Female,75-79,Some high school,"$25,000 to <$35,000",Black only (non-Hispanic)
339,Female,60-64,High school graduate,"$50,000 to <$75,000",White only (non-Hispanic)
340,Male,60-64,Some college or technical school,"$100,000 to < $150,000",White only (non-Hispanic)
341,Female,50-54,College graduate or higher,,White only (non-Hispanic)
342,Male,60-64,High school graduate,"$100,000 to < $150,000",White only (non-Hispanic)
343,Female,50-54,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
344,Male,70-74,Some college or technical school,"$35,000 to <$50,000",Black only (non-Hispanic)
345,Male,75-79,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
346,Female,80+,Some high school,"$10,000 to <$15,000",White only (non-Hispanic)
347,Male,75-79,High school graduate,"$35,000 to <$50,000",Other race (non-Hispanic)
348,Female,60-64,High school graduate,"$35,000 to <$50,000",Multiracial (non-Hispanic)
349,Female,55-59,Some high school,"$25,000 to <$35,000",White only (non-Hispanic)
350,Male,70-74,Some college or technical school,"$25,000 to <$35,000",White only (non-Hispanic)
351,Female,75-79,College graduate or higher,"Less than $10,000",White only (non-Hispanic)
352,Male,75-79,Some high school,"$15,000 to <$20,000",White only (non-Hispanic)
353,Female,,College graduate or higher,,White only (non-Hispanic)
354,Female,60-64,Some college or technical school,"$75,000 to < $100,000",White only (non-Hispanic)
355,Male,65-69,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
356,Male,30-34,College graduate or higher,,White only (non-Hispanic)
357,Female,60-64,Some high school,"Less than $10,000",White only (non-Hispanic)
358,Male,70-74,Some college or technical school,,White only (non-Hispanic)
359,Female,55-59,Some college or technical school,"$35,000 to <$50,000",White only (non-Hispanic)
360,Female,55-59,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
361,Female,,Some college or technical school,,Black only (non-Hispanic)
362,Female,45-49,Some college or technical school,,White only (non-Hispanic)
363,Male,80+,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
364,Male,55-59,College graduate or higher,"$25,000 to <$35,000",White only (non-Hispanic)
365,Female,70-74,College graduate or higher,"$35,000 to <$50,000",White only (non-Hispanic)
366,Female,65-69,Some high school,"$20,000 to <$25,000",White only (non-Hispanic)
367,Female,65-69,College graduate or higher,"$200,000 or more",White only (non-Hispanic)
368,Female,50-54,College graduate or higher,"$35,000 to <$50,000",Multiracial (non-Hispanic)
369,Female,30-34,College graduate or higher,"$50,000 to <$75,000",White only (non-Hispanic)
